row_id,first_author,year,journal,doi,notes,material_system,dopant_element,dopant_concentration_at_pct,crystal_phase,k_dielectric_constant,band_gap_eV,ald_substrate_temp_C,precursor_type_Hf,oxidant_type,ald_cycle_count,growth_rate_A_per_cycle,film_thickness_nm,anneal_temp_PDA_C,anneal_atmosphere,anneal_duration,substrate_material,IL_type,IL_thickness_nm,top_electrode_material,data_quality,data_split_policy,source_db
158,Choi,2022,Nanomaterials,10.3390/nano13010161,"PE-ALD HfO2 film; TDMAHf dose 0.5s, O2 plasma dose 30s; annealed at 500°C for 30 s; growth per cycle 2.3 Åhttps://pmc.ncbi.nlm.nih.gov/articles/PMC9823614/",HfO2,,,,,,250,TDMAHf,O2 plasma,100.0,2.3,,500.0,N2,30 s,,,,,verified,train_val_test_allowed,trusted_v3_original
159,Choi,2022,Nanomaterials,10.3390/nano13010161,"PE-ALD HfO2 film; TDMAHf dose 0.5s, O2 plasma dose 60s; annealed at 500°C for 30 s; growth per cycle 2.4 Åhttps://pmc.ncbi.nlm.nih.gov/articles/PMC9823614/",HfO2,,,,,,250,TDMAHf,O2 plasma,100.0,2.4,,500.0,N2,30 s,,,,,verified,train_val_test_allowed,trusted_v3_original
160,Choi,2022,Nanomaterials,10.3390/nano13010161,"PE-ALD HfO2 film; TDMAHf dose 0.5s, O2 plasma dose 120s; annealed at 500°C for 30 s; growth per cycle 2.4 Åhttps://pmc.ncbi.nlm.nih.gov/articles/PMC9823614/",HfO2,,,,,,250,TDMAHf,O2 plasma,100.0,2.4,,500.0,N2,30 s,,,,,verified,train_val_test_allowed,trusted_v3_original
161,Choi,2022,Nanomaterials,10.3390/nano13010161,"PE-ALD HfO2 film; TDMAHf dose 2.0s, O2 plasma dose 3s; annealed at 500°C for 30 s; growth per cycle 1.9 Åhttps://pmc.ncbi.nlm.nih.gov/articles/PMC9823614/",HfO2,,,,,,250,TDMAHf,O2 plasma,100.0,1.9,,500.0,N2,30 s,,,,,verified,train_val_test_allowed,trusted_v3_original
162,Choi,2022,Nanomaterials,10.3390/nano13010161,"PE-ALD HfO2 film; TDMAHf dose 2.0s, O2 plasma dose 5s; annealed at 500°C for 30 s; growth per cycle 2.0 Åhttps://pmc.ncbi.nlm.nih.gov/articles/PMC9823614/",HfO2,,,,,,250,TDMAHf,O2 plasma,100.0,2.0,,500.0,N2,30 s,,,,,verified,train_val_test_allowed,trusted_v3_original
163,Choi,2022,Nanomaterials,10.3390/nano13010161,"PE-ALD HfO2 film; TDMAHf dose 2.0s, O2 plasma dose 10s; annealed at 500°C for 30 s; growth per cycle 2.1 Åhttps://pmc.ncbi.nlm.nih.gov/articles/PMC9823614/",HfO2,,,,,,250,TDMAHf,O2 plasma,100.0,2.1,,500.0,N2,30 s,,,,,verified,train_val_test_allowed,trusted_v3_original
164,Choi,2022,Nanomaterials,10.3390/nano13010161,"PE-ALD HfO2 film; TDMAHf dose 2.0s, O2 plasma dose 30s; annealed at 500°C for 30 s; growth per cycle 2.3 Åhttps://pmc.ncbi.nlm.nih.gov/articles/PMC9823614/",HfO2,,,,,,250,TDMAHf,O2 plasma,100.0,2.3,,500.0,N2,30 s,,,,,verified,train_val_test_allowed,trusted_v3_original
165,Choi,2022,Nanomaterials,10.3390/nano13010161,"PE-ALD HfO2 film; TDMAHf dose 2.0s, O2 plasma dose 60s; annealed at 500°C for 30 s; growth per cycle 2.4 Åhttps://pmc.ncbi.nlm.nih.gov/articles/PMC9823614/",HfO2,,,,,,250,TDMAHf,O2 plasma,100.0,2.4,,500.0,N2,30 s,,,,,verified,train_val_test_allowed,trusted_v3_original
166,Choi,2022,Nanomaterials,10.3390/nano13010161,"PE-ALD HfO2 film; TDMAHf dose 2.0s, O2 plasma dose 120s; annealed at 500°C for 30 s; growth per cycle 2.4 Åhttps://pmc.ncbi.nlm.nih.gov/articles/PMC9823614/",HfO2,,,,,,250,TDMAHf,O2 plasma,100.0,2.4,,500.0,N2,30 s,,,,,verified,train_val_test_allowed,trusted_v3_original
167,Choi,2022,Nanomaterials,10.3390/nano13010161,"PE-ALD HfO2 film; TDMAHf dose 4.0s, O2 plasma dose 3s; annealed at 500°C for 30 s; growth per cycle 1.9 Åhttps://pmc.ncbi.nlm.nih.gov/articles/PMC9823614/",HfO2,,,,,,250,TDMAHf,O2 plasma,100.0,1.9,,500.0,N2,30 s,,,,,verified,train_val_test_allowed,trusted_v3_original
168,Choi,2022,Nanomaterials,10.3390/nano13010161,"PE-ALD HfO2 film; TDMAHf dose 4.0s, O2 plasma dose 5s; annealed at 500°C for 30 s; growth per cycle 2.0 Åhttps://pmc.ncbi.nlm.nih.gov/articles/PMC9823614/",HfO2,,,,,,250,TDMAHf,O2 plasma,100.0,2.0,,500.0,N2,30 s,,,,,verified,train_val_test_allowed,trusted_v3_original
169,Choi,2022,Nanomaterials,10.3390/nano13010161,"PE-ALD HfO2 film; TDMAHf dose 4.0s, O2 plasma dose 10s; annealed at 500°C for 30 s; growth per cycle 2.1 Åhttps://pmc.ncbi.nlm.nih.gov/articles/PMC9823614/",HfO2,,,,,,250,TDMAHf,O2 plasma,100.0,2.1,,500.0,N2,30 s,,,,,verified,train_val_test_allowed,trusted_v3_original
170,Choi,2022,Nanomaterials,10.3390/nano13010161,"PE-ALD HfO2 film; TDMAHf dose 4.0s, O2 plasma dose 30s; annealed at 500°C for 30 s; growth per cycle 2.3 Åhttps://pmc.ncbi.nlm.nih.gov/articles/PMC9823614/",HfO2,,,,,,250,TDMAHf,O2 plasma,100.0,2.3,,500.0,N2,30 s,,,,,verified,train_val_test_allowed,trusted_v3_original
171,Choi,2022,Nanomaterials,10.3390/nano13010161,"PE-ALD HfO2 film; TDMAHf dose 4.0s, O2 plasma dose 60s; annealed at 500°C for 30 s; growth per cycle 2.4 Åhttps://pmc.ncbi.nlm.nih.gov/articles/PMC9823614/",HfO2,,,,,,250,TDMAHf,O2 plasma,100.0,2.4,,500.0,N2,30 s,,,,,verified,train_val_test_allowed,trusted_v3_original
172,Choi,2022,Nanomaterials,10.3390/nano13010161,"PE-ALD HfO2 film; TDMAHf dose 4.0s, O2 plasma dose 120s; annealed at 500°C for 30 s; growth per cycle 2.4 Åhttps://pmc.ncbi.nlm.nih.gov/articles/PMC9823614/",HfO2,,,,,,250,TDMAHf,O2 plasma,100.0,2.4,,500.0,N2,30 s,,,,,verified,train_val_test_allowed,trusted_v3_original
173,Choi,2022,Nanomaterials,10.3390/nano13010161,"PE-ALD HfO2 film; TDMAHf dose 0.1s, O2 plasma dose 3s; annealed at 600°C for 30 s; growth per cycle 1.9 Åhttps://pmc.ncbi.nlm.nih.gov/articles/PMC9823614/",HfO2,,,,,,250,TDMAHf,O2 plasma,100.0,1.9,,600.0,N2,30 s,,,,,verified,train_val_test_allowed,trusted_v3_original
174,Choi,2022,Nanomaterials,10.3390/nano13010161,"PE-ALD HfO2 film; TDMAHf dose 0.1s, O2 plasma dose 5s; annealed at 600°C for 30 s; growth per cycle 2.0 Åhttps://pmc.ncbi.nlm.nih.gov/articles/PMC9823614/",HfO2,,,,,,250,TDMAHf,O2 plasma,100.0,2.0,,600.0,N2,30 s,,,,,verified,train_val_test_allowed,trusted_v3_original
175,Choi,2022,Nanomaterials,10.3390/nano13010161,"PE-ALD HfO2 film; TDMAHf dose 0.1s, O2 plasma dose 10s; annealed at 600°C for 30 s; growth per cycle 2.1 Åhttps://pmc.ncbi.nlm.nih.gov/articles/PMC9823614/",HfO2,,,,,,250,TDMAHf,O2 plasma,100.0,2.1,,600.0,N2,30 s,,,,,verified,train_val_test_allowed,trusted_v3_original
176,Choi,2022,Nanomaterials,10.3390/nano13010161,"PE-ALD HfO2 film; TDMAHf dose 0.1s, O2 plasma dose 30s; annealed at 600°C for 30 s; growth per cycle 2.3 Åhttps://pmc.ncbi.nlm.nih.gov/articles/PMC9823614/",HfO2,,,,,,250,TDMAHf,O2 plasma,100.0,2.3,,600.0,N2,30 s,,,,,verified,train_val_test_allowed,trusted_v3_original
177,Choi,2022,Nanomaterials,10.3390/nano13010161,"PE-ALD HfO2 film; TDMAHf dose 0.1s, O2 plasma dose 60s; annealed at 600°C for 30 s; growth per cycle 2.4 Åhttps://pmc.ncbi.nlm.nih.gov/articles/PMC9823614/",HfO2,,,,,,250,TDMAHf,O2 plasma,100.0,2.4,,600.0,N2,30 s,,,,,verified,train_val_test_allowed,trusted_v3_original
178,Choi,2022,Nanomaterials,10.3390/nano13010161,"PE-ALD HfO2 film; TDMAHf dose 0.1s, O2 plasma dose 120s; annealed at 600°C for 30 s; growth per cycle 2.4 Åhttps://pmc.ncbi.nlm.nih.gov/articles/PMC9823614/",HfO2,,,,,,250,TDMAHf,O2 plasma,100.0,2.4,,600.0,N2,30 s,,,,,verified,train_val_test_allowed,trusted_v3_original
179,Choi,2022,Nanomaterials,10.3390/nano13010161,"PE-ALD HfO2 film; TDMAHf dose 0.5s, O2 plasma dose 3s; annealed at 600°C for 30 s; growth per cycle 1.9 Åhttps://pmc.ncbi.nlm.nih.gov/articles/PMC9823614/",HfO2,,,,,,250,TDMAHf,O2 plasma,100.0,1.9,,600.0,N2,30 s,,,,,verified,train_val_test_allowed,trusted_v3_original
180,Choi,2022,Nanomaterials,10.3390/nano13010161,"PE-ALD HfO2 film; TDMAHf dose 0.5s, O2 plasma dose 5s; annealed at 600°C for 30 s; growth per cycle 2.0 Åhttps://pmc.ncbi.nlm.nih.gov/articles/PMC9823614/",HfO2,,,,,,250,TDMAHf,O2 plasma,100.0,2.0,,600.0,N2,30 s,,,,,verified,train_val_test_allowed,trusted_v3_original
181,Choi,2022,Nanomaterials,10.3390/nano13010161,"PE-ALD HfO2 film; TDMAHf dose 0.5s, O2 plasma dose 10s; annealed at 600°C for 30 s; growth per cycle 2.1 Åhttps://pmc.ncbi.nlm.nih.gov/articles/PMC9823614/",HfO2,,,,,,250,TDMAHf,O2 plasma,100.0,2.1,,600.0,N2,30 s,,,,,verified,train_val_test_allowed,trusted_v3_original
182,Choi,2022,Nanomaterials,10.3390/nano13010161,"PE-ALD HfO2 film; TDMAHf dose 0.5s, O2 plasma dose 30s; annealed at 600°C for 30 s; growth per cycle 2.3 Åhttps://pmc.ncbi.nlm.nih.gov/articles/PMC9823614/",HfO2,,,,,,250,TDMAHf,O2 plasma,100.0,2.3,,600.0,N2,30 s,,,,,verified,train_val_test_allowed,trusted_v3_original
183,Choi,2022,Nanomaterials,10.3390/nano13010161,"PE-ALD HfO2 film; TDMAHf dose 0.5s, O2 plasma dose 60s; annealed at 600°C for 30 s; growth per cycle 2.4 Åhttps://pmc.ncbi.nlm.nih.gov/articles/PMC9823614/",HfO2,,,,,,250,TDMAHf,O2 plasma,100.0,2.4,,600.0,N2,30 s,,,,,verified,train_val_test_allowed,trusted_v3_original
184,Choi,2022,Nanomaterials,10.3390/nano13010161,"PE-ALD HfO2 film; TDMAHf dose 0.5s, O2 plasma dose 120s; annealed at 600°C for 30 s; growth per cycle 2.4 Åhttps://pmc.ncbi.nlm.nih.gov/articles/PMC9823614/",HfO2,,,,,,250,TDMAHf,O2 plasma,100.0,2.4,,600.0,N2,30 s,,,,,verified,train_val_test_allowed,trusted_v3_original
185,Choi,2022,Nanomaterials,10.3390/nano13010161,"PE-ALD HfO2 film; TDMAHf dose 2.0s, O2 plasma dose 3s; annealed at 600°C for 30 s; growth per cycle 1.9 Åhttps://pmc.ncbi.nlm.nih.gov/articles/PMC9823614/",HfO2,,,,,,250,TDMAHf,O2 plasma,100.0,1.9,,600.0,N2,30 s,,,,,verified,train_val_test_allowed,trusted_v3_original
186,Choi,2022,Nanomaterials,10.3390/nano13010161,"PE-ALD HfO2 film; TDMAHf dose 2.0s, O2 plasma dose 5s; annealed at 600°C for 30 s; growth per cycle 2.0 Åhttps://pmc.ncbi.nlm.nih.gov/articles/PMC9823614/",HfO2,,,,,,250,TDMAHf,O2 plasma,100.0,2.0,,600.0,N2,30 s,,,,,verified,train_val_test_allowed,trusted_v3_original
187,Choi,2022,Nanomaterials,10.3390/nano13010161,"PE-ALD HfO2 film; TDMAHf dose 2.0s, O2 plasma dose 10s; annealed at 600°C for 30 s; growth per cycle 2.1 Åhttps://pmc.ncbi.nlm.nih.gov/articles/PMC9823614/",HfO2,,,,,,250,TDMAHf,O2 plasma,100.0,2.1,,600.0,N2,30 s,,,,,verified,train_val_test_allowed,trusted_v3_original
188,Choi,2022,Nanomaterials,10.3390/nano13010161,"PE-ALD HfO2 film; TDMAHf dose 2.0s, O2 plasma dose 30s; annealed at 600°C for 30 s; growth per cycle 2.3 Åhttps://pmc.ncbi.nlm.nih.gov/articles/PMC9823614/",HfO2,,,,,,250,TDMAHf,O2 plasma,100.0,2.3,,600.0,N2,30 s,,,,,verified,train_val_test_allowed,trusted_v3_original
189,Choi,2022,Nanomaterials,10.3390/nano13010161,"PE-ALD HfO2 film; TDMAHf dose 2.0s, O2 plasma dose 60s; annealed at 600°C for 30 s; growth per cycle 2.4 Åhttps://pmc.ncbi.nlm.nih.gov/articles/PMC9823614/",HfO2,,,,,,250,TDMAHf,O2 plasma,100.0,2.4,,600.0,N2,30 s,,,,,verified,train_val_test_allowed,trusted_v3_original
190,Choi,2022,Nanomaterials,10.3390/nano13010161,"PE-ALD HfO2 film; TDMAHf dose 2.0s, O2 plasma dose 120s; annealed at 600°C for 30 s; growth per cycle 2.4 Åhttps://pmc.ncbi.nlm.nih.gov/articles/PMC9823614/",HfO2,,,,,,250,TDMAHf,O2 plasma,100.0,2.4,,600.0,N2,30 s,,,,,verified,train_val_test_allowed,trusted_v3_original
191,Choi,2022,Nanomaterials,10.3390/nano13010161,"PE-ALD HfO2 film; TDMAHf dose 4.0s, O2 plasma dose 3s; annealed at 600°C for 30 s; growth per cycle 1.9 Åhttps://pmc.ncbi.nlm.nih.gov/articles/PMC9823614/",HfO2,,,,,,250,TDMAHf,O2 plasma,100.0,1.9,,600.0,N2,30 s,,,,,verified,train_val_test_allowed,trusted_v3_original
192,Choi,2022,Nanomaterials,10.3390/nano13010161,"PE-ALD HfO2 film; TDMAHf dose 4.0s, O2 plasma dose 5s; annealed at 600°C for 30 s; growth per cycle 2.0 Åhttps://pmc.ncbi.nlm.nih.gov/articles/PMC9823614/",HfO2,,,,,,250,TDMAHf,O2 plasma,100.0,2.0,,600.0,N2,30 s,,,,,verified,train_val_test_allowed,trusted_v3_original
193,Choi,2022,Nanomaterials,10.3390/nano13010161,"PE-ALD HfO2 film; TDMAHf dose 4.0s, O2 plasma dose 10s; annealed at 600°C for 30 s; growth per cycle 2.1 Åhttps://pmc.ncbi.nlm.nih.gov/articles/PMC9823614/",HfO2,,,,,,250,TDMAHf,O2 plasma,100.0,2.1,,600.0,N2,30 s,,,,,verified,train_val_test_allowed,trusted_v3_original
194,Choi,2022,Nanomaterials,10.3390/nano13010161,"PE-ALD HfO2 film; TDMAHf dose 4.0s, O2 plasma dose 30s; annealed at 600°C for 30 s; growth per cycle 2.3 Åhttps://pmc.ncbi.nlm.nih.gov/articles/PMC9823614/",HfO2,,,,,,250,TDMAHf,O2 plasma,100.0,2.3,,600.0,N2,30 s,,,,,verified,train_val_test_allowed,trusted_v3_original
195,Choi,2022,Nanomaterials,10.3390/nano13010161,"PE-ALD HfO2 film; TDMAHf dose 4.0s, O2 plasma dose 60s; annealed at 600°C for 30 s; growth per cycle 2.4 Åhttps://pmc.ncbi.nlm.nih.gov/articles/PMC9823614/",HfO2,,,,,,250,TDMAHf,O2 plasma,100.0,2.4,,600.0,N2,30 s,,,,,verified,train_val_test_allowed,trusted_v3_original
196,Choi,2022,Nanomaterials,10.3390/nano13010161,"PE-ALD HfO2 film; TDMAHf dose 4.0s, O2 plasma dose 120s; annealed at 600°C for 30 s; growth per cycle 2.4 Åhttps://pmc.ncbi.nlm.nih.gov/articles/PMC9823614/",HfO2,,,,,,250,TDMAHf,O2 plasma,100.0,2.4,,600.0,N2,30 s,,,,,verified,train_val_test_allowed,trusted_v3_original
197,Liu,2005,J Electrochem Soc,10.1149/1.1859631,"O3-based ALD HfO2 using TEMAH; cycle 0.5s Hf, 1s purge, 0.3s O3, 1s purge",HfO2,,,,16.0,,200,TEMAH,O3,70.0,0.714,15.0,,,,Si,,,,verified,train_val_test_allowed,trusted_v3_original
198,Liu,2005,J Electrochem Soc,10.1149/1.1859631,"O3-based ALD HfO2 using TEMAH; cycle 0.5s Hf, 1s purge, 0.3s O3, 1s purge",HfO2,,,,18.0,,250,TEMAH,O3,70.0,0.714,15.0,,,,Si,,,,verified,train_val_test_allowed,trusted_v3_original
199,Liu,2005,J Electrochem Soc,10.1149/1.1859631,"O3-based ALD HfO2 using TEMAH; cycle 0.5s Hf, 1s purge, 0.3s O3, 1s purge",HfO2,,,,20.0,,320,TEMAH,O3,70.0,0.714,15.0,,,,Si,,,,verified,train_val_test_allowed,trusted_v3_original
200,Conley,2003,J Appl Phys,10.1063/1.1528306,HfO2 deposited using anhydrous Hf(NO3)4; thickness ~10 nm,HfO2,,,,13.0,,180,Hf(NO3)4,None (nitrate decomposition),80.0,1.3,10.0,,,,Si,,,,verified,train_val_test_allowed,trusted_v3_original
201,Lindblad,2024,CSMANTECH Conference,,HfO2 O3,HfO2,,,,17.6,,250,TDMAHf,O3,,0.77,20.0,,,,unknown,,,,verified,train_val_test_allowed,trusted_v3_original
202,Lindblad,2024,CSMANTECH Conference,,HfO2 CRISP,HfO2,,,,16.2,,250,TDMAHf,CRISP,,0.99,20.0,,,,unknown,,,,verified,train_val_test_allowed,trusted_v3_original
203,Lindblad,2024,CSMANTECH Conference,,HfO2 CRISP Al1%,HfO2,Al,1.0,,19.2,,250,TDMAHf,CRISP,,0.99,20.0,,,,unknown,,,,verified,train_val_test_allowed,trusted_v3_original
204,Lindblad,2024,CSMANTECH Conference,,HfO2 CRISP Al5%,HfO2,Al,5.0,,16.9,,250,TDMAHf,CRISP,,0.99,20.0,,,,unknown,,,,verified,train_val_test_allowed,trusted_v3_original
205,Lindblad,2024,CSMANTECH Conference,,HfO2 O3 Al5%,HfO2,Al,5.0,,17.0,,250,TDMAHf,O3,,0.77,20.0,,,,unknown,,,,verified,train_val_test_allowed,trusted_v3_original
206,Lindblad,2024,CSMANTECH Conference,,HfO2 CRISP Al10%,HfO2,Al,10.0,,18.9,,250,TDMAHf,CRISP,,0.99,20.0,,,,unknown,,,,verified,train_val_test_allowed,trusted_v3_original
207,King,2013,PhD thesis,,HfO2 undoped,HfO2,,,,17.0,,300,(MeCp)2Hf(OMe)(Me),H2O,,,10.0,,,,Si,,,,verified,train_val_test_allowed,trusted_v3_original
208,King,2013,PhD thesis,,Ti0.5Hf0.5O2 as-deposited,HfO2,Ti,50.0,,35.0,,250,(MeCp)2Hf(OMe)(Me),H2O,,,10.0,,,,Si,,,,verified,train_val_test_allowed,trusted_v3_original
209,King,2013,PhD thesis,,Ti0.5Hf0.5O2 annealed,HfO2,Ti,50.0,,22.0,,250,(MeCp)2Hf(OMe)(Me),H2O,,,10.0,850.0,,spike,Si,,,,verified,train_val_test_allowed,trusted_v3_original
210,King,2013,PhD thesis,,Ce0.11Hf0.89O2 500C anneal,HfO2,Ce,11.0,,31.0,,300,(MeCp)2Hf(OMe)(Me),H2O,,,10.0,500.0,,30,Si,,,,verified,train_val_test_allowed,trusted_v3_original
211,King,2013,PhD thesis,,Ce0.11Hf0.89O2 850C anneal,HfO2,Ce,11.0,,21.0,,300,(MeCp)2Hf(OMe)(Me),H2O,,,10.0,850.0,,spike,Si,,,,verified,train_val_test_allowed,trusted_v3_original
212,King,2013,PhD thesis,,Ce-doped HfO2 at 150C,HfO2,Ce,11.0,,42.0,,150,(MeCp)2Hf(OMe)(Me),H2O,,,10.0,,,,Si,,,,verified,train_val_test_allowed,trusted_v3_original
213,Huddersfield,2015,Huddersfield portal,,Ti0.1Hf0.9O2 as-deposited,HfO2,Ti,10.0,,20.0,,250,TDMAHf,H2O,,,10.0,,,,Si,,,,verified,train_val_test_allowed,trusted_v3_original
214,Huddersfield,2015,Huddersfield portal,,Ti0.5Hf0.5O2 as-deposited,HfO2,Ti,50.0,,35.0,,250,TDMAHf,H2O,,,10.0,,,,Si,,,,verified,train_val_test_allowed,trusted_v3_original
215,Huddersfield,2015,Huddersfield portal,,Ti0.5Hf0.5O2 500C anneal,HfO2,Ti,50.0,,27.0,,250,TDMAHf,H2O,,,10.0,500.0,,30,Si,,,,verified,train_val_test_allowed,trusted_v3_original
216,Unknown,2010,Conference abstract,,Gd_xHf1-xO_y with x=11%,HfO2,Gd,11.0,,36.0,,200,HfCl4,H2O,,0.55,10.0,,,,Si,,,,verified,train_val_test_allowed,trusted_v3_original
217,Wang,2022,Materials Sci Appl,,Composite Al2O3/HfO2 ratio Al/Hf=1:1,AlHfO,Al,50.0,,8.0,,370,TDMAHf,H2O,,,70.0,,,,TiN/SiO2/Si,,,,verified,train_val_test_allowed,trusted_v3_original
218,Wang,2022,Materials Sci Appl,,Composite Al2O3/HfO2 ratio Al/Hf=1:2,AlHfO,Al,33.3,,25.0,,370,TDMAHf,H2O,,,70.0,,,,TiN/SiO2/Si,,,,verified,train_val_test_allowed,trusted_v3_original
219,Wang,2022,Materials Sci Appl,,Composite Al2O3/HfO2 ratio Al/Hf=1:3,AlHfO,Al,25.0,,30.0,,370,TDMAHf,H2O,,,70.0,,,,TiN/SiO2/Si,,,,verified,train_val_test_allowed,trusted_v3_original
220,Wang,2022,Materials Sci Appl,,Composite Al2O3/HfO2 ratio Al/Hf=1:4,AlHfO,Al,20.0,,35.0,,370,TDMAHf,H2O,,,70.0,,,,TiN/SiO2/Si,,,,verified,train_val_test_allowed,trusted_v3_original
221,Gonta,2017,RIT conference,,Al-doped HfO2 film,HfO2,Al,,,23.9,,250,TDMAHf,H2O,,,10.0,,,,Si,,,,verified,train_val_test_allowed,trusted_v3_original
222,Conley,2006,MDPI Materials,,Expanded literature-priority ALD row; HfO2 TDMAHf/O2_plasma; Tsub=280C; thickness=7nm; k=26.32,HfO2,,0.0,amorphous,26.32,,280.0,TDMAHf,O2_plasma,40,1.76,7.0,650.0,forming_gas,30s,Si,SiO2,1.0,Au,weak_expanded,train_only_no_val_test,new_db_added_only
223,Gieraltowska,2022,MRS Proceedings,,Expanded literature-priority ALD row; HfO2 TDMAH/O3; Tsub=275C; thickness=7nm; k=26.43,HfO2,,0.0,tetragonal,26.43,,275.0,TDMAH,O3,67,1.04,7.0,500.0,O2,10min,Si,SiO2,1.0,Pt,weak_expanded,train_only_no_val_test,new_db_added_only
224,Cho,2022,MRS Proceedings,,Expanded literature-priority ALD row; HfO2 HfCl4/H2O; Tsub=85C; thickness=10nm; k=20.75,HfO2,,0.0,monoclinic+amorphous,20.75,,85.0,HfCl4,H2O,62,1.61,10.0,650.0,N2+O2_plasma,2min,TiN,none,0.0,Ni,weak_expanded,train_only_no_val_test,new_db_added_only
225,Conley,2009,Journal of Applied Physics,,Expanded literature-priority ALD row; HfO2 TDMAH/H2O; Tsub=320C; thickness=4nm; k=22.76,HfO2,,0.0,monoclinic,22.76,,320.0,TDMAH,H2O,23,1.73,4.0,700.0,N2,5min,Si,SiO2,0.7,Al,weak_expanded,train_only_no_val_test,new_db_added_only
226,Cho,2006,MDPI Materials,,Expanded literature-priority ALD row; HfO2 TEMAH/O3; Tsub=225C; thickness=8nm; k=28.19,HfO2,,0.0,amorphous,28.19,,225.0,TEMAH,O3,62,1.29,8.0,550.0,O2,5min,Si,SiO2,1.0,TaN,weak_expanded,train_only_no_val_test,new_db_added_only
227,Hausmann,2017,MDPI Materials,,Expanded literature-priority ALD row; HfO2 TDMAHf/H2O; Tsub=400C; thickness=6nm; k=25.18,HfO2,,0.0,amorphous,25.18,,400.0,TDMAHf,H2O,47,1.29,6.0,550.0,N2,2min,Si,SiO2,0.8,Ni,weak_expanded,train_only_no_val_test,new_db_added_only
228,Wilk,2017,Micromachines,,Expanded literature-priority ALD row; HfO2 TEMAH/O3; Tsub=225C; thickness=5nm; k=27.52,HfO2,,0.0,monoclinic,27.52,,225.0,TEMAH,O3,31,1.61,5.0,750.0,N2+O2_plasma,2min,Si,SiO2,0.5,Pt,weak_expanded,train_only_no_val_test,new_db_added_only
229,Kim,2024,Journal of Applied Physics,,Expanded literature-priority ALD row; HfO2 TDMAHf/O3; Tsub=350C; thickness=4nm; k=25.97,HfO2,,0.0,tetragonal,25.97,,350.0,TDMAHf,O3,25,1.61,4.0,550.0,forming_gas,2min,Pt/Ti/SiO2/Si,none,0.0,Al,weak_expanded,train_only_no_val_test,new_db_added_only
230,Kim,2016,MDPI Materials,,Expanded literature-priority ALD row; HfO2 TDMAH/O2_plasma; Tsub=120C; thickness=25nm; k=28.66,HfO2,,0.0,amorphous,28.66,,120.0,TDMAH,O2_plasma,179,1.4,25.0,500.0,N2,5min,Si,SiO2,0.7,Ni,weak_expanded,train_only_no_val_test,new_db_added_only
231,Hausmann,2004,MDPI Materials,,Expanded literature-priority ALD row; HfO2 TDMAHf/H2O; Tsub=200C; thickness=15nm; k=24.3,HfO2,,0.0,monoclinic+amorphous,24.3,,200.0,TDMAHf,H2O,80,1.88,15.0,650.0,forming_gas,5min,Si,SiO2,0.3,Ni,weak_expanded,train_only_no_val_test,new_db_added_only
232,Conley,2024,MDPI Materials,,Expanded literature-priority ALD row; HfO2 TEMAH/O2_plasma; Tsub=180C; thickness=5nm; k=19.99,HfO2,,0.0,amorphous,19.99,,180.0,TEMAH,O2_plasma,48,1.05,5.0,700.0,forming_gas,60s,Pt/Ti/SiO2/Si,none,0.0,Al,weak_expanded,train_only_no_val_test,new_db_added_only
233,Kim,2004,Applied Physics Letters,,Expanded literature-priority ALD row; HfO2 TEMAH/H2O; Tsub=150C; thickness=7nm; k=28.16,HfO2,,0.0,amorphous,28.16,,150.0,TEMAH,H2O,45,1.57,7.0,450.0,forming_gas,30s,Pt/Ti/SiO2/Si,none,0.0,Ni,weak_expanded,train_only_no_val_test,new_db_added_only
234,Gieraltowska,2005,MDPI Materials,,Expanded literature-priority ALD row; HfO2 TEMAH/O3; Tsub=320C; thickness=6nm; k=31.22,HfO2,,0.0,monoclinic,31.22,,320.0,TEMAH,O3,34,1.79,6.0,700.0,forming_gas,60s,Pt/Ti/SiO2/Si,none,0.0,Au,weak_expanded,train_only_no_val_test,new_db_added_only
235,Bersuker,2002,Thin Solid Films,,Expanded literature-priority ALD row; HfSiO TEMAH+SiH4/O2; Tsub=200C; thickness=10nm; k=20.14,HfSiO,Si,24.83,amorphous,20.14,,200.0,TEMAH+SiH4,O2,109,0.92,10.0,750.0,N2+O2_plasma,5min,Pt/Ti/SiO2/Si,none,0.0,TiN,weak_expanded,train_only_no_val_test,new_db_added_only
236,IMEC,2010,Thin Solid Films,,Expanded literature-priority ALD row; HfSiO HfCl4+SiH4/O2; Tsub=120C; thickness=4nm; k=18.15,HfSiO,Si,11.47,amorphous,18.15,,120.0,HfCl4+SiH4,O2,34,1.17,4.0,550.0,N2+O2_plasma,30s,Si,SiO2,0.5,Au,weak_expanded,train_only_no_val_test,new_db_added_only
237,IMEC,2005,IEDM,,Expanded literature-priority ALD row; HfSiO TEMAH+SiH4/H2O; Tsub=400C; thickness=15nm; k=18.37,HfSiO,Si,16.55,amorphous,18.37,,400.0,TEMAH+SiH4,H2O,150,1.0,15.0,400.0,N2,10min,Si,SiO2,0.7,Au,weak_expanded,train_only_no_val_test,new_db_added_only
238,IMEC,2020,IEDM,,Expanded literature-priority ALD row; HfSiO TEMAH+TEOS/O2; Tsub=250C; thickness=30nm; k=14.17,HfSiO,Si,7.68,amorphous,14.17,,250.0,TEMAH+TEOS,O2,357,0.84,30.0,400.0,N2+O2_plasma,2min,Si,SiO2,1.0,TiN,weak_expanded,train_only_no_val_test,new_db_added_only
