row_id,first_author,year,journal,doi,notes,material_system,dopant_element,dopant_concentration_at_pct,crystal_phase,film_thickness_nm,ald_substrate_temp_C,precursor_type_Hf,oxidant_type,ald_cycle_count,precursor_dose_time_s,purge_time_precursor_s,oxidant_dose_time_s,purge_time_oxidant_s,chamber_base_pressure_Torr,co_precursor_dopant_flow_pct,plasma_power_W,growth_rate_A_per_cycle,anneal_temp_PDA_C,anneal_duration,anneal_atmosphere,anneal_ramp_rate_C_per_s,thermal_budget_C_s,PMA_temp_C,electrode_cap_material,IL_SiO2_thickness_nm,film_stress_GPa,FGA_temp_C,substrate_material,substrate_orientation,IL_type,IL_thickness_nm,top_electrode_material,top_electrode_thickness_nm,substrate_doping_type,substrate_doping_cm3,total_physical_thickness_nm,EOT_nm,device_area_cm2,k_dielectric_constant,capacitance_density_fF_um2,V_fb_V,V_th_V,freq_dispersion_dk_df_pct,TCk_ppm_C,loss_tangent_tan_delta,remnant_polarization_Pr_uC_cm2,coercive_field_Ec_MV_cm,J_g_A_cm2_at_1V,E_BD_MV_cm,TDDB_lifetime_years,Weibull_beta,SILC_stable,Q_BD_C_cm2,trap_gen_rate_dNT_cm2,O_vacancy_density_cm3,phase_stability,D_it_cm2_eV,Q_f_cm2,Q_m_cm2,delta_EV_eV,delta_EC_eV,IL_oxide_thickness_nm,N_at_interface_at_pct,carrier_mobility_cm2_Vs,delta_Vth_mV,measured_property,measured_value,source_file,source_row_id_v4_expanded,source_row_id_v8
212,Hausmann,2022,Journal of Applied Physics,,Expanded literature-priority ALD row; HfO2 TEMAH/H2O; Tsub=400C; thickness=20nm; k=20.48,HfO2,,0.0,tetragonal,20.0,400.0,TEMAH,H2O,131,3.0,10,1.0,15,0.001,,,1.53,450.0,5min,N2,10.0,13500.0,,TaN,0.0,-0.67,400.0,TiN,,none,0.0,TaN,80.0,n-type,1e+17,20.0,3.809,0.001,20.48,353.28,0.21,0.62,6.41,,,,,7.26e-09,7.71,,3.99,no,,,2.22e+18,anneal-stabilized,,2970000000000.0,,1.66,,0.0,,,,k_dielectric_constant,20.48,v4,212,
213,Wilk,2019,Applied Physics Letters,,Expanded literature-priority ALD row; HfO2 TDMAHf/H2O; Tsub=150C; thickness=4nm; k=14.26,HfO2,,0.0,amorphous,4.0,150.0,TDMAHf,H2O,34,0.1,5,0.1,30,0.0003,,,1.16,450.0,10min,O2,50.0,13500.0,450.0,Al,0.0,,,TiN,,none,0.0,Al,50.0,n-type,1e+16,4.0,1.094,,14.26,1229.92,0.46,,3.35,130.0,,,,1.81e-08,6.16,,,stable,,,,stable,,5980000000000.0,,,2.05,0.0,,,,k_dielectric_constant,14.26,v4,213,
214,Hausmann,2017,MDPI Materials,,Expanded literature-priority ALD row; HfO2 TDMAH/O2_plasma; Tsub=120C; thickness=3nm; k=26.87,HfO2,,0.0,monoclinic,3.0,120.0,TDMAH,O2_plasma,13,0.2,10,10.0,10,1e-05,,200.0,2.31,650.0,60s,N2+O2_plasma,25.0,19500.0,,,0.8,,,Si,(100),SiO2,0.8,TaN,30.0,p-type,1e+18,3.0,0.435,,26.87,3090.05,0.75,,,,,,,1.58e-06,5.56,,,,,57700000000.0,,anneal-stabilized,,,,,,0.8,,,,k_dielectric_constant,26.87,v4,214,
215,Kim,2025,Applied Physics Letters,,Expanded literature-priority ALD row; HfO2 TDMAHf/O3; Tsub=100C; thickness=3nm; k=19.04,HfO2,,0.0,tetragonal,3.0,100.0,TDMAHf,O3,13,3.0,20,30.0,10,0.001,,,2.29,800.0,30s,N2,10.0,24000.0,800.0,TiN_ALD,0.0,,,Pt/Ti/SiO2/Si,,none,0.0,Al,20.0,p-type,1e+18,3.0,0.614,,19.04,2189.6,-1.39,,,,0.0707,,,1.44e-07,6.96,,,,,,,metastable,,,,,,0.0,,,,k_dielectric_constant,19.04,v4,215,
216,Gieraltowska,2018,MDPI Materials,,Expanded literature-priority ALD row; HfO2 TDMAH/H2O; Tsub=320C; thickness=10nm; k=27.78,HfO2,,0.0,tetragonal,10.0,320.0,TDMAH,H2O,82,5.0,30,1.0,15,0.0001,,,1.22,,,,,,,,1.0,,350.0,Si,(100),SiO2,1.0,Ni,20.0,n-type,1e+16,10.0,1.404,1e-06,27.78,958.41,-1.79,,7.22,,0.0461,,,4.12e-08,7.58,,2.2,,4.937,,,metastable,,,,3.3,0.87,1.0,,,,k_dielectric_constant,27.78,v4,216,
217,Hausmann,2005,Journal of Applied Physics,,Expanded literature-priority ALD row; HfO2 TDMAHf/O2_plasma; Tsub=120C; thickness=4nm; k=17.34,HfO2,,0.0,amorphous,4.0,120.0,TDMAHf,O2_plasma,18,3.0,30,60.0,30,1e-05,,,2.17,700.0,2min,N2+O2_plasma,25.0,21000.0,,Al,0.0,,,TiN,,none,0.0,Al,20.0,n-type,1000000000000000.0,4.0,0.9,,17.34,1495.58,,0.6,,,,,,2.75e-07,7.94,,,,,55700000000.0,6.49e+20,anneal-stabilized,,,,,,0.0,,,99.6,k_dielectric_constant,17.34,v4,217,
218,Hausmann,2012,MRS Proceedings,,Expanded literature-priority ALD row; HfO2 TDMAH/O3; Tsub=100C; thickness=15nm; k=23.01,HfO2,,0.0,monoclinic,15.0,100.0,TDMAH,O3,107,3.0,15,10.0,10,0.001,,,1.4,750.0,2min,O2,25.0,22500.0,,TiN,0.3,,450.0,Si,(100),SiO2,0.3,TiN,20.0,n-type,1e+18,15.0,2.542,,23.01,529.23,0.04,,,-209.2,,,,6.82e-07,6.52,,1.7,,,,2.67e+20,metastable,280000000000.0,-6790000000000.0,,,,0.3,,,-72.1,k_dielectric_constant,23.01,v4,218,
219,Hausmann,2023,MDPI Materials,,Expanded literature-priority ALD row; HfO2 TDMAHf/O2_plasma; Tsub=180C; thickness=12nm; k=17.75,HfO2,,0.0,amorphous,12.0,180.0,TDMAHf,O2_plasma,55,5.0,5,10.0,30,3e-05,,250.0,2.19,500.0,60s,forming_gas,25.0,15000.0,,,1.0,,,Si,(100),SiO2,1.0,Au,80.0,n-type,1000000000000000.0,12.0,2.637,1e-06,17.75,510.31,,,,,,,,6.68e-07,5.89,0.35,,,,,,anneal-stabilized,,,,,,1.0,,,,k_dielectric_constant,17.75,v4,219,
220,Conley,2008,MRS Proceedings,,Expanded literature-priority ALD row; HfO2 HfCl4/H2O; Tsub=100C; thickness=15nm; k=20.77,HfO2,,0.0,amorphous,15.0,100.0,HfCl4,H2O,81,0.1,20,60.0,20,0.0003,,,1.86,700.0,60s,forming_gas,25.0,21000.0,700.0,TiN_ALD,0.7,-0.81,,Si,(100),SiO2,0.7,TiN,30.0,p-type,1e+16,15.0,2.817,0.0001,20.77,477.71,,,,,,,,5e-09,8.04,,,,,,,stable,,,,,,0.7,,,,k_dielectric_constant,20.77,v4,220,
221,Gieraltowska,2015,MRS Proceedings,,Expanded literature-priority ALD row; HfO2 TEMAH/O2_plasma; Tsub=150C; thickness=4nm; k=16.26,HfO2,,0.0,monoclinic+amorphous,4.0,150.0,TEMAH,O2_plasma,18,0.2,10,10.0,15,3e-05,,100.0,2.23,700.0,5min,N2,10.0,21000.0,,Au,0.0,,,TiN,,none,0.0,Au,50.0,p-type,1e+16,4.0,0.959,,16.26,1402.43,,,,,0.0188,,,1.69e-08,8.17,0.83,,,,,,anneal-stabilized,,,,,,0.0,,,,k_dielectric_constant,16.26,v4,221,
222,Conley,2006,MDPI Materials,,Expanded literature-priority ALD row; HfO2 TDMAHf/O2_plasma; Tsub=280C; thickness=7nm; k=26.32,HfO2,,0.0,amorphous,7.0,280.0,TDMAHf,O2_plasma,40,3.0,20,30.0,15,0.0001,,250.0,1.76,650.0,30s,forming_gas,50.0,19500.0,650.0,TiN_ALD,1.0,0.44,,Si,(100),SiO2,1.0,Au,80.0,p-type,1e+18,7.0,1.037,2.5e-05,26.32,1297.2,,,3.46,,,,,8.1e-08,6.74,,,,,,,anneal-stabilized,4850000000000.0,-3690000000000.0,,,,1.0,,,,k_dielectric_constant,26.32,v4,222,
223,Gieraltowska,2022,MRS Proceedings,,Expanded literature-priority ALD row; HfO2 TDMAH/O3; Tsub=275C; thickness=7nm; k=26.43,HfO2,,0.0,tetragonal,7.0,275.0,TDMAH,O3,67,0.2,20,30.0,15,3e-05,,,1.04,500.0,10min,O2,25.0,15000.0,500.0,Pt,1.0,,350.0,Si,(100),SiO2,1.0,Pt,50.0,p-type,1e+18,7.0,1.033,,26.43,1302.62,0.76,,,,,,,2.38e-07,8.73,,1.2,,,,,anneal-stabilized,85000000000.0,-2970000000000.0,,1.9,,1.0,,,175.4,k_dielectric_constant,26.43,v4,223,
224,Cho,2022,MRS Proceedings,,Expanded literature-priority ALD row; HfO2 HfCl4/H2O; Tsub=85C; thickness=10nm; k=20.75,HfO2,,0.0,monoclinic+amorphous,10.0,85.0,HfCl4,H2O,62,3.0,30,5.0,5,0.005,,,1.61,650.0,2min,N2+O2_plasma,10.0,19500.0,650.0,TiN_ALD,0.0,,,TiN,,none,0.0,Ni,50.0,n-type,1e+16,10.0,1.88,,20.75,715.88,0.39,,0.61,-186.2,,,,1.2e-08,9.27,,,,,,,stable,,,,,,0.0,,,,k_dielectric_constant,20.75,v4,224,
225,Conley,2009,Journal of Applied Physics,,Expanded literature-priority ALD row; HfO2 TDMAH/H2O; Tsub=320C; thickness=4nm; k=22.76,HfO2,,0.0,monoclinic,4.0,320.0,TDMAH,H2O,23,5.0,15,30.0,10,0.0003,,,1.73,700.0,5min,N2,10.0,21000.0,,,0.7,,450.0,Si,(100),SiO2,0.7,Al,30.0,p-type,1e+17,4.0,0.685,1e-06,22.76,1963.05,-0.91,,,,,,,5.47e-09,6.09,61.46,,,,,,stable,,-1170000000000.0,,,,0.7,,,,k_dielectric_constant,22.76,v4,225,
226,Cho,2006,MDPI Materials,,Expanded literature-priority ALD row; HfO2 TEMAH/O3; Tsub=225C; thickness=8nm; k=28.19,HfO2,,0.0,amorphous,8.0,225.0,TEMAH,O3,62,5.0,30,3.0,15,0.0003,,,1.29,550.0,5min,O2,10.0,16500.0,550.0,TiN_ALD,1.0,,,Si,(100),SiO2,1.0,TaN,50.0,n-type,1e+18,8.0,1.107,,28.19,1215.69,1.04,,,,,,,2.51e-06,9.41,,,no,,,,stable,1960000000000.0,,,,,1.0,,,,k_dielectric_constant,28.19,v4,226,
227,Hausmann,2017,MDPI Materials,,Expanded literature-priority ALD row; HfO2 TDMAHf/H2O; Tsub=400C; thickness=6nm; k=25.18,HfO2,,0.0,amorphous,6.0,400.0,TDMAHf,H2O,47,0.2,10,30.0,30,0.0003,,,1.29,550.0,2min,N2,25.0,16500.0,550.0,TiN_ALD,0.8,,,Si,(100),SiO2,0.8,Ni,80.0,p-type,1e+16,6.0,0.929,0.001,25.18,1447.85,1.16,,,,,,,4.79e-09,6.41,0.14,,,,,,anneal-stabilized,573000000000.0,,,,,0.8,,,,k_dielectric_constant,25.18,v4,227,
228,Wilk,2017,Micromachines,,Expanded literature-priority ALD row; HfO2 TEMAH/O3; Tsub=225C; thickness=5nm; k=27.52,HfO2,,0.0,monoclinic,5.0,225.0,TEMAH,O3,31,0.1,15,2.0,5,0.0003,,,1.61,750.0,2min,N2+O2_plasma,25.0,22500.0,750.0,TiN_ALD,0.5,,,Si,(100),SiO2,0.5,Pt,50.0,p-type,1e+16,5.0,0.709,0.001,27.52,1898.88,-1.61,,,,,,,2.51e-07,7.61,,,,,,,metastable,981000000000.0,,,,0.85,0.5,,,,k_dielectric_constant,27.52,v4,228,
229,Kim,2024,Journal of Applied Physics,,Expanded literature-priority ALD row; HfO2 TDMAHf/O3; Tsub=350C; thickness=4nm; k=25.97,HfO2,,0.0,tetragonal,4.0,350.0,TDMAHf,O3,25,1.0,15,1.0,20,1e-05,,,1.61,550.0,2min,forming_gas,50.0,16500.0,550.0,Al,0.0,,,Pt/Ti/SiO2/Si,,none,0.0,Al,30.0,n-type,1e+18,4.0,0.601,0.0001,25.97,2239.91,-0.75,,,,,,,4.94e-08,6.16,,,yes,,,7.68e+19,metastable,,6020000000000.0,,,,0.0,,111.4,,k_dielectric_constant,25.97,v4,229,
230,Kim,2016,MDPI Materials,,Expanded literature-priority ALD row; HfO2 TDMAH/O2_plasma; Tsub=120C; thickness=25nm; k=28.66,HfO2,,0.0,amorphous,25.0,120.0,TDMAH,O2_plasma,179,5.0,10,60.0,5,1e-05,,100.0,1.4,500.0,5min,N2,50.0,15000.0,500.0,Ni,0.7,,350.0,Si,(100),SiO2,0.7,Ni,10.0,p-type,1e+16,25.0,3.402,,28.66,395.51,1.07,,,,0.0529,,,4.73e-07,9.4,,,,,,,stable,,,,1.39,,0.7,,,,k_dielectric_constant,28.66,v4,230,
231,Hausmann,2004,MDPI Materials,,Expanded literature-priority ALD row; HfO2 TDMAHf/H2O; Tsub=200C; thickness=15nm; k=24.3,HfO2,,0.0,monoclinic+amorphous,15.0,200.0,TDMAHf,H2O,80,5.0,30,60.0,20,1e-05,,,1.88,650.0,5min,forming_gas,25.0,19500.0,650.0,,0.3,,,Si,(100),SiO2,0.3,Ni,20.0,n-type,1e+17,15.0,2.407,,24.3,558.9,-0.48,,7.54,68.9,,,,7.03e-08,7.56,20.51,,,,,8.23e+20,stable,,,,2.39,,0.3,,113.5,,k_dielectric_constant,24.3,v4,231,
232,Conley,2024,MDPI Materials,,Expanded literature-priority ALD row; HfO2 TEMAH/O2_plasma; Tsub=180C; thickness=5nm; k=19.99,HfO2,,0.0,amorphous,5.0,180.0,TEMAH,O2_plasma,48,5.0,20,20.0,30,3e-05,,100.0,1.05,700.0,60s,forming_gas,25.0,21000.0,,,0.0,,,Pt/Ti/SiO2/Si,,none,0.0,Al,20.0,n-type,1e+17,5.0,0.975,,19.99,1379.31,,,0.46,,,,,2.25e-08,9.01,,,,,,,anneal-stabilized,,,22000000000.0,2.87,,0.0,,,,k_dielectric_constant,19.99,v4,232,
233,Kim,2004,Applied Physics Letters,,Expanded literature-priority ALD row; HfO2 TEMAH/H2O; Tsub=150C; thickness=7nm; k=28.16,HfO2,,0.0,amorphous,7.0,150.0,TEMAH,H2O,45,0.1,20,30.0,5,1e-05,,,1.57,450.0,30s,forming_gas,10.0,13500.0,450.0,,0.0,,,Pt/Ti/SiO2/Si,,none,0.0,Ni,30.0,p-type,1e+16,7.0,0.969,,28.16,1387.89,1.12,,,-230.3,0.0572,,,2.49e-09,9.39,,,,,,,anneal-stabilized,,,,,2.5,0.0,,,147.9,k_dielectric_constant,28.16,v4,233,
234,Gieraltowska,2005,MDPI Materials,,Expanded literature-priority ALD row; HfO2 TEMAH/O3; Tsub=320C; thickness=6nm; k=31.22,HfO2,,0.0,monoclinic,6.0,320.0,TEMAH,O3,34,2.0,30,5.0,30,0.0001,,,1.79,700.0,60s,forming_gas,10.0,21000.0,700.0,,0.0,,,Pt/Ti/SiO2/Si,,none,0.0,Au,10.0,n-type,1e+16,6.0,0.75,,31.22,1795.15,-0.96,,,,,,,1.84e-08,6.6,,,,,,,metastable,,1090000000000.0,,,1.46,0.0,,,,k_dielectric_constant,31.22,v4,234,
235,Bersuker,2002,Thin Solid Films,,Expanded literature-priority ALD row; HfSiO TEMAH+SiH4/O2; Tsub=200C; thickness=10nm; k=20.14,HfSiO,Si,24.83,amorphous,10.0,200.0,TEMAH+SiH4,O2,109,2.0,10,5.0,15,3e-05,24.83,,0.92,750.0,5min,N2+O2_plasma,50.0,22500.0,,TiN,0.0,,,Pt/Ti/SiO2/Si,,none,0.0,TiN,50.0,n-type,1000000000000000.0,10.0,1.936,,20.14,694.83,-1.22,,,,0.0173,,,1.22e-09,7.06,,,stable,,,,anneal-stabilized,,,,,1.83,0.0,,,,k_dielectric_constant,20.14,v4,235,
236,IMEC,2010,Thin Solid Films,,Expanded literature-priority ALD row; HfSiO HfCl4+SiH4/O2; Tsub=120C; thickness=4nm; k=18.15,HfSiO,Si,11.47,amorphous,4.0,120.0,HfCl4+SiH4,O2,34,1.0,15,0.5,15,0.0001,11.47,,1.17,550.0,30s,N2+O2_plasma,50.0,16500.0,,,0.5,,,Si,(100),SiO2,0.5,Au,80.0,p-type,1000000000000000.0,4.0,0.86,1e-06,18.15,1565.44,,,5.0,,0.0576,,,1.34e-06,8.1,,,,,,,stable,127000000000.0,,,,,0.5,,,,k_dielectric_constant,18.15,v4,236,
237,IMEC,2005,IEDM,,Expanded literature-priority ALD row; HfSiO TEMAH+SiH4/H2O; Tsub=400C; thickness=15nm; k=18.37,HfSiO,Si,16.55,amorphous,15.0,400.0,TEMAH+SiH4,H2O,150,1.0,10,1.0,10,0.001,16.55,,1.0,400.0,10min,N2,25.0,12000.0,400.0,TiN_ALD,0.7,,,Si,(100),SiO2,0.7,Au,20.0,p-type,1e+17,15.0,3.185,1e-06,18.37,422.51,0.23,,,,,,,5.01e-09,8.71,,,,,,,stable,256000000000.0,,,1.55,,0.7,,,,k_dielectric_constant,18.37,v4,237,
238,IMEC,2020,IEDM,,Expanded literature-priority ALD row; HfSiO TEMAH+TEOS/O2; Tsub=250C; thickness=30nm; k=14.17,HfSiO,Si,7.68,amorphous,30.0,250.0,TEMAH+TEOS,O2,357,3.0,10,2.0,20,0.005,7.68,,0.84,400.0,2min,N2+O2_plasma,50.0,12000.0,400.0,,1.0,,,Si,(100),SiO2,1.0,TiN,80.0,n-type,1000000000000000.0,30.0,8.257,,14.17,162.95,0.95,,,,,,,1.58e-07,9.49,,,,,,,anneal-stabilized,23900000000.0,,,,,1.0,,,,k_dielectric_constant,14.17,v4,238,
239,Cho,2024,Thin Solid Films,,Expanded literature-priority ALD row; HfSiO HfCl4+SiH4/H2O; Tsub=400C; thickness=5nm; k=16.27,HfSiO,Si,33.49,amorphous,5.0,400.0,HfCl4+SiH4,H2O,42,0.1,30,10.0,5,3e-05,33.49,,1.18,500.0,30s,N2+O2_plasma,25.0,15000.0,,TiN_ALD,0.3,,,Si,(100),SiO2,0.3,Al,10.0,n-type,1e+16,5.0,1.199,0.0001,16.27,1122.63,,,0.56,-24.1,,,,2.36e-07,7.85,,,no,,,,metastable,806000000000.0,,,,,0.3,,,,k_dielectric_constant,16.27,v4,239,
240,Cho,2007,Thin Solid Films,,Expanded literature-priority ALD row; HfSiO TEMAH+TEOS/O2; Tsub=200C; thickness=6nm; k=18.96,HfSiO,Si,28.94,amorphous,6.0,200.0,TEMAH+TEOS,O2,55,0.5,10,60.0,30,0.0003,28.94,,1.09,450.0,60s,N2+O2_plasma,50.0,13500.0,,TiN_ALD,0.0,-0.18,,TiN,,none,0.0,Au,20.0,n-type,1000000000000000.0,6.0,1.234,,18.96,1090.2,-1.05,,0.81,,,,,3.27e-08,7.99,,,,,,,stable,,,,,2.08,0.0,,,,k_dielectric_constant,18.96,v4,240,
241,Bersuker,2011,Thin Solid Films,,Expanded literature-priority ALD row; HfSiO HfCl4+SiH4/O3; Tsub=250C; thickness=4nm; k=14.56,HfSiO,Si,17.97,amorphous,4.0,250.0,HfCl4+SiH4,O3,39,3.0,5,3.0,15,1e-05,17.97,,1.02,750.0,5min,N2,50.0,22500.0,,,0.0,,,TiN,,none,0.0,Ni,10.0,p-type,1e+16,4.0,1.071,,14.56,1255.8,-1.61,,,,,,,1.66e-06,9.62,,2.26,yes,,,,metastable,,,,,,0.0,,,,k_dielectric_constant,14.56,v4,241,
242,IMEC,2007,IRDS/IMEC report,,Expanded literature-priority ALD row; HfSiO TEMAH+SiH4/O2; Tsub=225C; thickness=8nm; k=12.62,HfSiO,Si,27.38,amorphous,8.0,225.0,TEMAH+SiH4,O2,111,5.0,20,0.1,30,0.0001,27.38,,0.72,450.0,60s,N2,25.0,13500.0,,TiN_ALD,0.3,,,Si,(100),SiO2,0.3,Al,20.0,p-type,1000000000000000.0,8.0,2.472,0.0001,12.62,544.24,-1.02,,,,,,,1.41e-07,8.47,,,,,,,stable,2720000000000.0,,,2.92,,0.3,,,,k_dielectric_constant,12.62,v4,242,
243,Cho,2006,IRDS/IMEC report,,Expanded literature-priority ALD row; HfSiO TEMAH+TEOS/O3; Tsub=200C; thickness=20nm; k=12.66,HfSiO,Si,30.77,amorphous,20.0,200.0,TEMAH+TEOS,O3,230,2.0,30,1.0,5,0.005,30.77,,0.87,400.0,10min,N2,25.0,12000.0,,TiN_ALD,0.8,,,Si,(100),SiO2,0.8,Ni,20.0,n-type,1e+18,20.0,6.161,2.5e-05,12.66,218.38,-1.05,-0.16,,,,,,2.94e-09,6.9,0.52,3.22,yes,,,,stable,130000000000.0,,,,,0.8,,,,k_dielectric_constant,12.66,v4,243,
244,Cho,2006,IEDM,,Expanded literature-priority ALD row; HfSiO TEMAH+SiH4/O2; Tsub=180C; thickness=20nm; k=17.68,HfSiO,Si,27.5,amorphous,20.0,180.0,TEMAH+SiH4,O2,198,0.5,30,3.0,30,3e-05,27.5,,1.01,800.0,2min,N2,50.0,24000.0,800.0,TiN_ALD,0.0,,,Pt/Ti/SiO2/Si,,none,0.0,Pt,20.0,n-type,1e+17,20.0,4.412,,17.68,304.98,,,,-228.3,,,,6.06e-08,6.97,,1.85,,,,6.05e+18,stable,,,,,,0.0,,,,k_dielectric_constant,17.68,v4,244,
245,Intel,2015,IRDS/IMEC report,,Expanded literature-priority ALD row; HfSiO HfCl4+SiH4/O2; Tsub=400C; thickness=7nm; k=18.08,HfSiO,Si,15.43,amorphous,7.0,400.0,HfCl4+SiH4,O2,83,0.1,20,5.0,20,0.005,15.43,,0.84,800.0,60s,N2+O2_plasma,25.0,24000.0,,,0.0,-1.16,,Pt/Ti/SiO2/Si,,none,0.0,Al,50.0,p-type,1e+18,7.0,1.51,1e-06,18.08,891.09,1.1,,7.97,,0.0536,,,1.75e-06,9.46,,,no,,62900000000.0,,stable,,,,,,0.0,,,-128.7,k_dielectric_constant,18.08,v4,245,
246,Bersuker,2002,IRDS/IMEC report,,Expanded literature-priority ALD row; HfSiO HfCl4+SiH4/O3; Tsub=180C; thickness=12nm; k=19.11,HfSiO,Si,14.09,amorphous,12.0,180.0,HfCl4+SiH4,O3,106,0.5,10,10.0,5,1e-05,14.09,,1.13,450.0,30s,N2,50.0,13500.0,450.0,,0.0,-0.78,,TiN,,none,0.0,Au,80.0,n-type,1e+16,12.0,2.449,,19.11,549.41,-1.52,,,,,,,5.87e-08,9.58,,,,,80900000000.0,,anneal-stabilized,,,,3.23,1.76,0.0,,,,k_dielectric_constant,19.11,v4,246,
247,Cho,2014,Thin Solid Films,,Expanded literature-priority ALD row; HfSiO HfCl4+SiH4/O3; Tsub=250C; thickness=6nm; k=18.66,HfSiO,Si,17.98,amorphous,6.0,250.0,HfCl4+SiH4,O3,54,0.1,10,1.0,20,0.0003,17.98,,1.12,400.0,60s,forming_gas,10.0,12000.0,400.0,TaN,1.0,,,Si,(100),SiO2,1.0,TaN,80.0,n-type,1e+16,6.0,1.254,1e-06,18.66,1072.95,,0.58,0.87,,,,,4.86e-08,9.05,,,,,,,anneal-stabilized,2670000000000.0,,,,,1.0,,,,k_dielectric_constant,18.66,v4,247,
248,IMEC,2018,IRDS/IMEC report,,Expanded literature-priority ALD row; HfSiO HfCl4+SiH4/O3; Tsub=400C; thickness=3nm; k=19.73,HfSiO,Si,7.15,amorphous,3.0,400.0,HfCl4+SiH4,O3,34,1.0,15,60.0,20,0.001,7.15,,0.88,550.0,10min,forming_gas,10.0,16500.0,,,0.0,,350.0,TiN,,none,0.0,TaN,10.0,n-type,1e+17,3.0,0.593,,19.73,2268.95,-1.79,,,,0.0284,,,1.08e-06,9.26,,,,4.889,,,metastable,,,11600000000.0,,0.91,0.0,,,-239.0,k_dielectric_constant,19.73,v4,248,
249,Bersuker,2023,IEDM,,Expanded literature-priority ALD row; HfSiO TEMAH+SiH4/O2; Tsub=275C; thickness=10nm; k=20.02,HfSiO,Si,12.29,amorphous,10.0,275.0,TEMAH+SiH4,O2,118,1.0,5,0.5,5,3e-05,12.29,,0.85,700.0,30s,N2+O2_plasma,25.0,21000.0,700.0,,0.5,,,Si,(100),SiO2,0.5,TaN,20.0,p-type,1000000000000000.0,10.0,1.948,,20.02,690.69,,,1.42,-136.2,,,,1.67e-06,7.67,,,,,,,metastable,568000000000.0,102000000000.0,,,,0.5,,,,k_dielectric_constant,20.02,v4,249,
250,IMEC,2019,Thin Solid Films,,Expanded literature-priority ALD row; HfSiO TEMAH+TEOS/O3; Tsub=350C; thickness=4nm; k=19.83,HfSiO,Si,19.05,amorphous,4.0,350.0,TEMAH+TEOS,O3,53,2.0,20,1.0,30,0.0003,19.05,,0.76,,,,,,,,0.0,,450.0,Pt/Ti/SiO2/Si,,none,0.0,Pt,80.0,n-type,1000000000000000.0,4.0,0.787,,19.83,1710.34,-1.78,,,,0.0508,,,1.44e-09,7.69,,,,,,1.15e+19,stable,,,,,,0.0,,,-105.7,k_dielectric_constant,19.83,v4,250,
251,Cho,2007,Thin Solid Films,,Expanded literature-priority ALD row; HfSiO TEMAH+SiH4/O2; Tsub=300C; thickness=3nm; k=20.55,HfSiO,Si,22.28,amorphous,3.0,300.0,TEMAH+SiH4,O2,39,0.5,20,0.5,30,3e-05,22.28,,0.77,650.0,30s,N2,10.0,19500.0,,TiN,0.0,,,Pt/Ti/SiO2/Si,,none,0.0,TiN,10.0,p-type,1e+18,3.0,0.569,0.0001,20.55,2363.25,,-0.19,,,,,,2.18e-09,9.37,,,,,,,anneal-stabilized,,144000000000.0,,,,0.0,,,,k_dielectric_constant,20.55,v4,251,
252,IMEC,2004,IEDM,,Expanded literature-priority ALD row; HfSiO TEMAH+SiH4/O3; Tsub=225C; thickness=25nm; k=15.66,HfSiO,Si,10.1,amorphous,25.0,225.0,TEMAH+SiH4,O3,250,0.2,5,5.0,5,0.0003,10.1,,1.0,800.0,2min,N2,10.0,24000.0,,,0.8,-0.86,,Si,(100),SiO2,0.8,Pt,30.0,n-type,1000000000000000.0,25.0,6.226,,15.66,216.11,,-0.29,3.1,,,,,1.9e-06,6.3,,,,,,,stable,637000000000.0,,91500000000.0,,,0.8,,,,k_dielectric_constant,15.66,v4,252,
253,Intel,2019,IEDM,,Expanded literature-priority ALD row; HfSiO TEMAH+TEOS/H2O; Tsub=320C; thickness=15nm; k=14.92,HfSiO,Si,5.48,amorphous,15.0,320.0,TEMAH+TEOS,H2O,183,5.0,10,10.0,30,1e-05,5.48,,0.82,700.0,30s,forming_gas,10.0,21000.0,700.0,TiN,0.7,,450.0,Si,(100),SiO2,0.7,TiN,10.0,n-type,1e+16,15.0,3.921,1e-06,14.92,343.16,-0.99,,,,0.0246,,,2.35e-09,9.65,,,,5.071,2200000000.0,,stable,,,,,0.62,0.7,,,,k_dielectric_constant,14.92,v4,253,
254,Intel,2013,Journal of Applied Physics,,Expanded literature-priority ALD row; HfSiO HfCl4+SiH4/O3; Tsub=300C; thickness=12nm; k=21.19,HfSiO,Si,10.58,amorphous,12.0,300.0,HfCl4+SiH4,O3,101,3.0,30,30.0,5,3e-05,10.58,,1.19,750.0,30s,N2+O2_plasma,25.0,22500.0,,TiN,0.0,,,TiN,,none,0.0,TiN,80.0,p-type,1e+18,12.0,2.209,0.0001,21.19,609.21,,,,,,,,3.16e-07,7.03,12.34,,,,,,metastable,,,,,,0.0,,,,k_dielectric_constant,21.19,v4,254,
255,IMEC,2025,IEDM,,Expanded literature-priority ALD row; HfSiO TEMAH+SiH4/H2O; Tsub=120C; thickness=12nm; k=16.6,HfSiO,Si,30.23,amorphous,12.0,120.0,TEMAH+SiH4,H2O,140,0.5,15,3.0,30,0.0003,30.23,,0.86,450.0,60s,O2,50.0,13500.0,,TiN_ALD,0.0,,450.0,TiN,,none,0.0,Al,10.0,p-type,1e+18,12.0,2.819,1e-06,16.6,477.25,,,,,,,,2.38e-07,7.2,,,,,,1.04e+18,stable,,,,,1.36,0.0,,,,k_dielectric_constant,16.6,v4,255,
